SceneID,Vector,Camera Location,Camera Location X,Camera Location Y,Camera Location Z,Look,Sphere Location,Sphere-X,Sphere-Y,Sphere-Z,Cube Location,Cube-X,Cube-Y,Cube-Z
1,left,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(20,15,2)",20,15,2,"(21,15,2)",21,15,2
2,left,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(19.5,15,2)",19.5,15,2,"(21.5,15,2)",21.5,15,2
3,left,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(15,15,2)",15,15,2,"(26,15,2)",26,15,2
4,left,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(20,15,2)",20,15,2,"(21,15,2)",21,15,2
5,left,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(19.5,15,2)",19.5,15,2,"(21.5,15,2)",21.5,15,2
6,left,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(15,15,2)",15,15,2,"(26,15,2)",26,15,2
7,left,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(7.5,15,2)",7.5,15,2,"(33.5,15,2)",33.5,15,2
8,left,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(20,15,2)",20,15,2,"(21,15,2)",21,15,2
9,left,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(19.5,15,2)",19.5,15,2,"(21.5,15,2)",21.5,15,2
10,left,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(15,15,2)",15,15,2,"(26,15,2)",26,15,2
11,left,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(20,15,2)",20,15,2,"(21,15,2)",21,15,2
12,left,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(19.5,15,2)",19.5,15,2,"(21.5,15,2)",21.5,15,2
13,left,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(15,15,2)",15,15,2,"(26,15,2)",26,15,2
14,left,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(7.5,15,2)",7.5,15,2,"(33.5,15,2)",33.5,15,2
15,left-front,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(20.07322,14.07322,2)",20.0732,14.0732,2,"(20.92678,14.92678,2)",20.9268,14.9268,2
16,left-front,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(19.71967,13.71967,2)",19.7197,13.7197,2,"(21.28033,15.28033,2)",21.2803,15.2803,2
17,left-front,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(16.53769,10.53769,2)",16.5377,10.5377,2,"(24.46231,18.46231,2)",24.4623,18.4623,2
18,left-front,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(20.07322,14.07322,2)",20.0732,14.0732,2,"(20.92678,14.92678,2)",20.9268,14.9268,2
19,left-front,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(19.71967,13.71967,2)",19.7197,13.7197,2,"(21.28033,15.28033,2)",21.2803,15.2803,2
20,left-front,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(16.53769,10.53769,2)",16.5377,10.5377,2,"(24.46231,18.46231,2)",24.4623,18.4623,2
21,left-front,"(21,0,2.5)",21,0,2.5,"(21,15.5,2.5)","(13.00216,7.53249,2)",13.0022,7.5325,2,"(27.99784,21.99784,2)",27.9978,21.9978,2
22,left-front,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(20.07322,14.07322,2)",20.0732,14.0732,2,"(20.92678,14.92678,2)",20.9268,14.9268,2
23,left-front,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(19.71967,13.71967,2)",19.7197,13.7197,2,"(21.28033,15.28033,2)",21.2803,15.2803,2
24,left-front,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(16.53769,10.53769,2)",16.5377,10.5377,2,"(24.46231,18.46231,2)",24.4623,18.4623,2
25,left-front,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(20.07322,14.07322,2)",20.0732,14.0732,2,"(20.92678,14.92678,2)",20.9268,14.9268,2
26,left-front,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(19.71967,13.71967,2)",19.7197,13.7197,2,"(21.28033,15.28033,2)",21.2803,15.2803,2
27,left-front,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(16.53769,10.53769,2)",16.5377,10.5377,2,"(24.46231,18.46231,2)",24.4623,18.4623,2
28,left-front,"(21,-15,2.5)",21,-15,2.5,"(21,15.5,2.5)","(13.00216,7.53249,2)",13.0022,7.5325,2,"(27.99784,21.99784,2)",27.9978,21.9978,2
29,front,"(21,0,5)",21,0,5,"(21,15,2.5)","(20.5,14,2)",20.5,14,2,"(20.5,15,2)",20.5,15,2
30,front,"(21,0,5)",21,0,5,"(21,15,2.5)","(20.5,13.5,2)",20.5,13.5,2,"(20.5,15.5,2)",20.5,15.5,2
31,front,"(21,0,5)",21,0,5,"(21,15,2.5)","(20.5,9,2)",20.5,9,2,"(20.5,20,2)",20.5,20,2
32,front,"(21,0,5)",21,0,5,"(21,15,2.5)","(20.5,14,2)",20.5,14,2,"(20.5,15,2)",20.5,15,2
33,front,"(21,0,5)",21,0,5,"(21,15,2.5)","(20.5,13.5,2)",20.5,13.5,2,"(20.5,15.5,2)",20.5,15.5,2
34,front,"(21,0,5)",21,0,5,"(21,15,2.5)","(20.5,9,2)",20.5,9,2,"(20.5,20,2)",20.5,20,2
35,front,"(21,0,5)",21,0,5,"(21,15,2.5)","(20.5,4,2)",20.5,4,2,"(20.5,25,2)",20.5,25,2
36,front,"(21,0,7.5)",21,0,7.5,"(21,15,2.5)","(20.5,14,2)",20.5,14,2,"(20.5,15,2)",20.5,15,2
37,front,"(21,0,7.5)",21,0,7.5,"(21,15,2.5)","(20.5,13.5,2)",20.5,13.5,2,"(20.5,15.5,2)",20.5,15.5,2
38,front,"(21,0,7.5)",21,0,7.5,"(21,15,2.5)","(20.5,9,2)",20.5,9,2,"(20.5,20,2)",20.5,20,2
39,front,"(21,0,7.5)",21,0,7.5,"(21,15,2.5)","(20.5,14,2)",20.5,14,2,"(20.5,15,2)",20.5,15,2
40,front,"(21,0,7.5)",21,0,7.5,"(21,15,2.5)","(20.5,13.5,2)",20.5,13.5,2,"(20.5,15.5,2)",20.5,15.5,2
41,front,"(21,0,7.5)",21,0,7.5,"(21,15,2.5)","(20.5,9,2)",20.5,9,2,"(20.5,20,2)",20.5,20,2
42,front,"(21,0,7.5)",21,0,7.5,"(21,15,2.5)","(20.5,4,2)",20.5,4,2,"(20.5,25,2)",20.5,25,2
43,left-up,"(21,0,13)",21,0,13,"(21,15.5,13)","(20.07322,15,12.92678)",20.0732,15,12.9268,"(20.92678,15,12.07322)",20.9268,15,12.0732
44,left-up,"(21,0,13)",21,0,13,"(21,15.5,13)","(19.71967,15,13.28033)",19.7197,15,13.2803,"(21.28033,15,11.71967)",21.2803,15,11.7197
45,left-up,"(21,0,13)",21,0,13,"(21,15.5,13)","(16.53769,15,16.46231)",16.5377,15,16.4623,"(24.46231,15,8.53769)",24.4623,15,8.5377
46,left-up,"(21,0,13)",21,0,13,"(21,15.5,13)","(20.07322,15,12.92678)",20.0732,15,12.9268,"(20.92678,15,12.07322)",20.9268,15,12.0732
47,left-up,"(21,0,13)",21,0,13,"(21,15.5,13)","(19.71967,15,13.28033)",19.7197,15,13.2803,"(21.28033,15,11.71967)",21.2803,15,11.7197
48,left-up,"(21,0,13)",21,0,13,"(21,15.5,13)","(16.53769,15,16.46231)",16.5377,15,16.4623,"(24.46231,15,8.53769)",24.4623,15,8.5377
49,left-up,"(21,0,13)",21,0,13,"(21,15.5,13)","(13.00216,15,19.99784)",13.0022,15,19.9978,"(27.99784,15,5.00216)",27.9978,15,5.0022
50,left-up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.07322,15,12.92678)",20.0732,15,12.9268,"(20.92678,15,12.07322)",20.9268,15,12.0732
51,left-up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(19.71967,15,13.28033)",19.7197,15,13.2803,"(21.28033,15,11.71967)",21.2803,15,11.7197
52,left-up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(16.53769,15,16.46231)",16.5377,15,16.4623,"(24.46231,15,8.53769)",24.4623,15,8.5377
53,left-up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.07322,15,12.92678)",20.0732,15,12.9268,"(20.92678,15,12.07322)",20.9268,15,12.0732
54,left-up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(19.71967,15,13.28033)",19.7197,15,13.2803,"(21.28033,15,11.71967)",21.2803,15,11.7197
55,left-up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(16.53769,15,16.46231)",16.5377,15,16.4623,"(24.46231,15,8.53769)",24.4623,15,8.5377
56,left-up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(13.00216,15,19.99784)",13.0022,15,19.9978,"(27.99784,15,5.00216)",27.9978,15,5.0022
57,up,"(21,0,13)",21,0,13,"(21,15.5,13)","(20.5,15,13)",20.5,15,13,"(20.5,15,12)",20.5,15,12
58,up,"(21,0,13)",21,0,13,"(21,15.5,13)","(20.5,15,13.5)",20.5,15,13.5,"(20.5,15,11.5)",20.5,15,11.5
59,up,"(21,0,13)",21,0,13,"(21,15.5,13)","(20.5,15,18)",20.5,15,18,"(20.5,15,7)",20.5,15,7
60,up,"(21,0,13)",21,0,13,"(21,15.5,13)","(20.5,15,13)",20.5,15,13,"(20.5,15,12)",20.5,15,12
61,up,"(21,0,13)",21,0,13,"(21,15.5,13)","(20.5,15,13.5)",20.5,15,13.5,"(20.5,15,11.5)",20.5,15,11.5
62,up,"(21,0,13)",21,0,13,"(21,15.5,13)","(20.5,15,18)",20.5,15,18,"(20.5,15,7)",20.5,15,7
63,up,"(21,-10,13)",21,-10,13,"(21,15.5,13)","(20.5,15,23)",20.5,15,23,"(20.5,15,2)",20.5,15,2
64,up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.5,15,13)",20.5,15,13,"(20.5,15,12)",20.5,15,12
65,up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.5,15,13.5)",20.5,15,13.5,"(20.5,15,11.5)",20.5,15,11.5
66,up,"(21,-15,13)",21,-15,13,"(21,15.5,13)","(20.5,15,18)",20.5,15,18,"(20.5,15,7)",20.5,15,7
