Training Example ID,Real/Sim Data,SceneID,Object Config,Locative Preposition,Response Score
1,real,1,left,above,1
2,sim,1,left,below,1
3,sim,1,right,above,1
4,sim,1,right,below,1
5,real,1,left,above,2
6,sim,1,left,below,2
7,sim,1,right,above,2
8,sim,1,right,below,2
9,real,1,left,above,1
10,sim,1,left,below,1
11,sim,1,right,above,1
12,sim,1,right,below,1
13,real,1,left,above,1
14,sim,1,left,below,1
15,sim,1,right,above,1
16,sim,1,right,below,1
17,real,1,left,above,1
18,sim,1,left,below,1
19,sim,1,right,above,1
20,sim,1,right,below,1
21,real,1,left,above,1
22,sim,1,left,below,1
23,sim,1,right,above,1
24,sim,1,right,below,1
25,real,1,left,above,1
26,sim,1,left,below,1
27,sim,1,right,above,1
28,sim,1,right,below,1
29,real,1,left,above,1
30,sim,1,left,below,1
31,sim,1,right,above,1
32,sim,1,right,below,1
33,real,1,left,above,1
34,sim,1,left,below,1
35,sim,1,right,above,1
36,sim,1,right,below,1
37,real,1,left,above,1
38,sim,1,left,below,1
39,sim,1,right,above,1
40,sim,1,right,below,1
41,real,1,left,above,1
42,sim,1,left,below,1
43,sim,1,right,above,1
44,sim,1,right,below,1
45,real,1,left,above,1
46,sim,1,left,below,1
47,sim,1,right,above,1
48,sim,1,right,below,1
49,real,1,left,above,1
50,sim,1,left,below,1
51,sim,1,right,above,1
52,sim,1,right,below,1
53,sim,1,left,above,1
54,sim,1,left,below,1
55,sim,1,right,above,1
56,sim,1,right,below,1
57,real,1,left,above,1
58,sim,1,left,below,1
59,sim,1,right,above,1
60,sim,1,right,below,1
61,real,1,left,above,1
62,sim,1,left,below,1
63,sim,1,right,above,1
64,sim,1,right,below,1
65,real,1,left,above,1
66,sim,1,left,below,1
67,sim,1,right,above,1
68,sim,1,right,below,1
69,real,1,left,above,1
70,sim,1,left,below,1
71,sim,1,right,above,1
72,sim,1,right,below,1
73,real,1,left,above,1
74,sim,1,left,below,1
75,sim,1,right,above,1
76,sim,1,right,below,1
77,real,1,left,above,1
78,sim,1,left,below,1
79,sim,1,right,above,1
80,sim,1,right,below,1
81,real,1,left,above,1
82,sim,1,left,below,1
83,sim,1,right,above,1
84,sim,1,right,below,1
85,real,1,left,above,1
86,sim,1,left,below,1
87,sim,1,right,above,1
88,sim,1,right,below,1
89,real,1,left,above,1
90,sim,1,left,below,1
91,sim,1,right,above,1
92,sim,1,right,below,1
93,real,1,left,above,1
94,sim,1,left,below,1
95,sim,1,right,above,1
96,sim,1,right,below,1
97,real,1,left,above,1
98,sim,1,left,below,1
99,sim,1,right,above,1
100,sim,1,right,below,1
101,real,1,left,against,5
102,sim,1,right,against,5
103,real,1,left,against,2
104,sim,1,right,against,2
105,real,1,left,against,7
106,sim,1,right,against,7
107,real,1,left,against,1
108,sim,1,right,against,1
109,real,1,left,against,7
110,sim,1,right,against,7
111,real,1,left,against,7
112,sim,1,right,against,7
113,real,1,left,against,7
114,sim,1,right,against,7
115,real,1,left,against,6
116,sim,1,right,against,6
117,real,1,left,against,7
118,sim,1,right,against,7
119,real,1,left,against,7
120,sim,1,right,against,7
121,real,1,left,against,6
122,sim,1,right,against,6
123,real,1,left,against,7
124,sim,1,right,against,7
125,real,1,left,against,1
126,sim,1,right,against,1
127,sim,1,left,against,7
128,sim,1,right,against,7
129,real,1,left,against,7
130,sim,1,right,against,7
131,real,1,left,against,4
132,sim,1,right,against,4
133,real,1,left,against,7
134,sim,1,right,against,7
135,real,1,left,against,7
136,sim,1,right,against,7
137,real,1,left,against,7
138,sim,1,right,against,7
139,real,1,left,against,7
140,sim,1,right,against,7
141,real,1,left,against,7
142,sim,1,right,against,7
143,real,1,left,against,7
144,sim,1,right,against,7
145,real,1,left,against,6
146,sim,1,right,against,6
147,real,1,left,against,7
148,sim,1,right,against,7
149,real,1,left,against,5
150,sim,1,right,against,5
201,real,1,left,beside,6
202,sim,1,right,beside,6
203,real,1,left,beside,3
204,sim,1,right,beside,3
205,real,1,left,beside,7
206,sim,1,right,beside,7
207,real,1,left,beside,7
208,sim,1,right,beside,7
209,real,1,left,beside,6
210,sim,1,right,beside,6
211,real,1,left,beside,7
212,sim,1,right,beside,7
213,real,1,left,beside,7
214,sim,1,right,beside,7
215,real,1,left,beside,6
216,sim,1,right,beside,6
217,real,1,left,beside,7
218,sim,1,right,beside,7
219,real,1,left,beside,7
220,sim,1,right,beside,7
221,real,1,left,beside,6
222,sim,1,right,beside,6
223,real,1,left,beside,7
224,sim,1,right,beside,7
225,real,1,left,beside,5
226,sim,1,right,beside,5
227,sim,1,left,beside,7
228,sim,1,right,beside,7
229,real,1,left,beside,7
230,sim,1,right,beside,7
231,real,1,left,beside,7
232,sim,1,right,beside,7
233,real,1,left,beside,7
234,sim,1,right,beside,7
235,real,1,left,beside,1
236,sim,1,right,beside,1
237,real,1,left,beside,7
238,sim,1,right,beside,7
239,real,1,left,beside,1
240,sim,1,right,beside,1
241,real,1,left,beside,7
242,sim,1,right,beside,7
243,real,1,left,beside,7
244,sim,1,right,beside,7
245,real,1,left,beside,5
246,sim,1,right,beside,5
247,real,1,left,beside,7
248,sim,1,right,beside,7
249,real,1,left,beside,5
250,sim,1,right,beside,5
251,real,1,left,close,3
252,sim,1,right,close,3
253,real,1,left,close,4
254,sim,1,right,close,4
255,real,1,left,close,7
256,sim,1,right,close,7
257,real,1,left,close,6
258,sim,1,right,close,6
259,real,1,left,close,4
260,sim,1,right,close,4
261,real,1,left,close,5
262,sim,1,right,close,5
263,real,1,left,close,6
264,sim,1,right,close,6
265,real,1,left,close,6
266,sim,1,right,close,6
267,real,1,left,close,7
268,sim,1,right,close,7
269,real,1,left,close,7
270,sim,1,right,close,7
271,real,1,left,close,6
272,sim,1,right,close,6
273,real,1,left,close,7
274,sim,1,right,close,7
275,real,1,left,close,6
276,sim,1,right,close,6
277,sim,1,left,close,6
278,sim,1,right,close,6
279,real,1,left,close,4
280,sim,1,right,close,4
281,real,1,left,close,6
282,sim,1,right,close,6
283,real,1,left,close,7
284,sim,1,right,close,7
285,real,1,left,close,6
286,sim,1,right,close,6
287,real,1,left,close,7
288,sim,1,right,close,7
289,real,1,left,close,7
290,sim,1,right,close,7
291,real,1,left,close,7
292,sim,1,right,close,7
293,real,1,left,close,7
294,sim,1,right,close,7
295,real,1,left,close,5
296,sim,1,right,close,5
297,real,1,left,close,4
298,sim,1,right,close,4
299,real,1,left,close,5
300,sim,1,right,close,5
301,real,1,left,front,1
302,sim,1,left,behind,1
303,sim,1,right,front,1
304,sim,1,right,behind,1
305,real,1,left,front,4
306,sim,1,left,behind,4
307,sim,1,right,front,4
308,sim,1,right,behind,4
309,real,1,left,front,1
310,sim,1,left,behind,1
311,sim,1,right,front,1
312,sim,1,right,behind,1
313,real,1,left,front,1
314,sim,1,left,behind,1
315,sim,1,right,front,1
316,sim,1,right,behind,1
317,real,1,left,front,1
318,sim,1,left,behind,1
319,sim,1,right,front,1
320,sim,1,right,behind,1
321,real,1,left,front,1
322,sim,1,left,behind,1
323,sim,1,right,front,1
324,sim,1,right,behind,1
325,real,1,left,front,1
326,sim,1,left,behind,1
327,sim,1,right,front,1
328,sim,1,right,behind,1
329,real,1,left,front,1
330,sim,1,left,behind,1
331,sim,1,right,front,1
332,sim,1,right,behind,1
333,real,1,left,front,1
334,sim,1,left,behind,1
335,sim,1,right,front,1
336,sim,1,right,behind,1
337,real,1,left,front,1
338,sim,1,left,behind,1
339,sim,1,right,front,1
340,sim,1,right,behind,1
341,real,1,left,front,1
342,sim,1,left,behind,1
343,sim,1,right,front,1
344,sim,1,right,behind,1
345,real,1,left,front,1
346,sim,1,left,behind,1
347,sim,1,right,front,1
348,sim,1,right,behind,1
349,real,1,left,front,2
350,sim,1,left,behind,2
351,sim,1,right,front,2
352,sim,1,right,behind,2
353,sim,1,left,front,1
354,sim,1,left,behind,1
355,sim,1,right,front,1
356,sim,1,right,behind,1
357,real,1,left,front,1
358,sim,1,left,behind,1
359,sim,1,right,front,1
360,sim,1,right,behind,1
361,real,1,left,front,1
362,sim,1,left,behind,1
363,sim,1,right,front,1
364,sim,1,right,behind,1
365,real,1,left,front,1
366,sim,1,left,behind,1
367,sim,1,right,front,1
368,sim,1,right,behind,1
369,real,1,left,front,1
370,sim,1,left,behind,1
371,sim,1,right,front,1
372,sim,1,right,behind,1
373,real,1,left,front,1
374,sim,1,left,behind,1
375,sim,1,right,front,1
376,sim,1,right,behind,1
377,real,1,left,front,1
378,sim,1,left,behind,1
379,sim,1,right,front,1
380,sim,1,right,behind,1
381,real,1,left,front,1
382,sim,1,left,behind,1
383,sim,1,right,front,1
384,sim,1,right,behind,1
385,real,1,left,front,1
386,sim,1,left,behind,1
387,sim,1,right,front,1
388,sim,1,right,behind,1
389,real,1,left,front,6
390,sim,1,left,behind,6
